environment,method,seed,true_utility,violation_rate,proxy_true_gap
adversarial,PPO,11,0.49171875,0.50828125,2.54140625
adversarial,PPO,17,0.493125,0.506875,2.534375
adversarial,PPO,23,0.4965625,0.5034375,2.5171875
adversarial,PPO,31,0.3746875,0.50546875,2.52734375
adversarial,PPO,47,0.4971875,0.5028125,2.5140625
adversarial,PPO,59,0.493125,0.506875,2.534375
adversarial,PPO,71,0.49875,0.50125,2.50625
adversarial,PPO,83,0.5,0.5,2.5
adversarial,PPO,97,0.49390625,0.50609375,2.53046875
adversarial,PPO,109,0.4975,0.5025,2.5125
adversarial,PPO,127,0.4953125,0.5046875,2.5234375
adversarial,PPO,139,0.49734375,0.50265625,2.51328125
adversarial,PPO,151,0.50125,0.49875,2.49375
adversarial,PPO,163,0.5009375,0.4990625,2.4953125
adversarial,PPO,179,0.49796875,0.50203125,2.51015625
adversarial,PPO,191,0.50296875,0.49703125,2.48515625
adversarial,PPO,211,0.504375,0.495625,2.478125
adversarial,PPO,223,0.50390625,0.49609375,2.48046875
adversarial,PPO,239,0.5025,0.4975,2.4875
adversarial,PPO,251,0.499375,0.500625,2.503125
adversarial,PPO,269,0.50546875,0.49453125,2.47265625
adversarial,PPO,281,0.5021875,0.4978125,2.4890625
adversarial,PPO,293,0.5046875,0.4953125,2.4765625
adversarial,PPO,307,0.50265625,0.49734375,2.48671875
adversarial,PPO,331,0.51078125,0.48921875,2.44609375
adversarial,PPO,347,0.51078125,0.48921875,2.44609375
adversarial,PPO,359,0.5071875,0.4928125,2.4640625
adversarial,PPO,373,0.50875,0.49125,2.45625
adversarial,PPO,389,0.50515625,0.49484375,2.47421875
adversarial,PPO,401,0.50359375,0.49640625,2.48203125
adversarial,CPO,11,1.0,0.0,0.0
adversarial,CPO,17,1.0,0.0,0.0
adversarial,CPO,23,1.0,0.0,0.0
adversarial,CPO,31,0.7534375,0.0,0.0
adversarial,CPO,47,1.0,0.0,0.0
adversarial,CPO,59,0.873125,0.0,0.0
adversarial,CPO,71,0.8709375,0.0,0.0
adversarial,CPO,83,0.86984375,0.0,0.0
adversarial,CPO,97,1.0,0.0,0.0
adversarial,CPO,109,1.0,0.0,0.0
adversarial,CPO,127,1.0,0.0,0.0
adversarial,CPO,139,1.0,0.0,0.0
adversarial,CPO,151,1.0,0.0,0.0
adversarial,CPO,163,0.7540625,0.0,0.0
adversarial,CPO,179,1.0,0.0,0.0
adversarial,CPO,191,0.87859375,0.0,0.0
adversarial,CPO,211,1.0,0.0,0.0
adversarial,CPO,223,1.0,0.0,0.0
adversarial,CPO,239,0.74984375,0.0,0.0
adversarial,CPO,251,1.0,0.0,0.0
adversarial,CPO,269,1.0,0.0,0.0
adversarial,CPO,281,1.0,0.0,0.0
adversarial,CPO,293,1.0,0.0,0.0
adversarial,CPO,307,1.0,0.0,0.0
adversarial,CPO,331,0.75640625,0.0,0.0
adversarial,CPO,347,1.0,0.0,0.0
adversarial,CPO,359,1.0,0.0,0.0
adversarial,CPO,373,1.0,0.0,0.0
adversarial,CPO,389,1.0,0.0,0.0
adversarial,CPO,401,0.611875,0.0,0.0
adversarial,PPOLag,11,1.0,0.0,0.0
adversarial,PPOLag,17,1.0,0.0,0.0
adversarial,PPOLag,23,1.0,0.0,0.0
adversarial,PPOLag,31,1.0,0.0,0.0
adversarial,PPOLag,47,1.0,0.0,0.0
adversarial,PPOLag,59,1.0,0.0,0.0
adversarial,PPOLag,71,1.0,0.0,0.0
adversarial,PPOLag,83,1.0,0.0,0.0
adversarial,PPOLag,97,1.0,0.0,0.0
adversarial,PPOLag,109,1.0,0.0,0.0
adversarial,PPOLag,127,1.0,0.0,0.0
adversarial,PPOLag,139,1.0,0.0,0.0
adversarial,PPOLag,151,1.0,0.0,0.0
adversarial,PPOLag,163,1.0,0.0,0.0
adversarial,PPOLag,179,1.0,0.0,0.0
adversarial,PPOLag,191,1.0,0.0,0.0
adversarial,PPOLag,211,1.0,0.0,0.0
adversarial,PPOLag,223,1.0,0.0,0.0
adversarial,PPOLag,239,1.0,0.0,0.0
adversarial,PPOLag,251,1.0,0.0,0.0
adversarial,PPOLag,269,1.0,0.0,0.0
adversarial,PPOLag,281,1.0,0.0,0.0
adversarial,PPOLag,293,1.0,0.0,0.0
adversarial,PPOLag,307,1.0,0.0,0.0
adversarial,PPOLag,331,1.0,0.0,0.0
adversarial,PPOLag,347,1.0,0.0,0.0
adversarial,PPOLag,359,1.0,0.0,0.0
adversarial,PPOLag,373,1.0,0.0,0.0
adversarial,PPOLag,389,1.0,0.0,0.0
adversarial,PPOLag,401,1.0,0.0,0.0
adversarial,RCPO,11,1.0,0.0,0.0
adversarial,RCPO,17,1.0,0.0,0.0
adversarial,RCPO,23,1.0,0.0,0.0
adversarial,RCPO,31,1.0,0.0,0.0
adversarial,RCPO,47,1.0,0.0,0.0
adversarial,RCPO,59,1.0,0.0,0.0
adversarial,RCPO,71,1.0,0.0,0.0
adversarial,RCPO,83,1.0,0.0,0.0
adversarial,RCPO,97,1.0,0.0,0.0
adversarial,RCPO,109,1.0,0.0,0.0
adversarial,RCPO,127,1.0,0.0,0.0
adversarial,RCPO,139,1.0,0.0,0.0
adversarial,RCPO,151,1.0,0.0,0.0
adversarial,RCPO,163,1.0,0.0,0.0
adversarial,RCPO,179,1.0,0.0,0.0
adversarial,RCPO,191,1.0,0.0,0.0
adversarial,RCPO,211,1.0,0.0,0.0
adversarial,RCPO,223,1.0,0.0,0.0
adversarial,RCPO,239,1.0,0.0,0.0
adversarial,RCPO,251,1.0,0.0,0.0
adversarial,RCPO,269,1.0,0.0,0.0
adversarial,RCPO,281,1.0,0.0,0.0
adversarial,RCPO,293,1.0,0.0,0.0
adversarial,RCPO,307,1.0,0.0,0.0
adversarial,RCPO,331,1.0,0.0,0.0
adversarial,RCPO,347,1.0,0.0,0.0
adversarial,RCPO,359,1.0,0.0,0.0
adversarial,RCPO,373,1.0,0.0,0.0
adversarial,RCPO,389,1.0,0.0,0.0
adversarial,RCPO,401,1.0,0.0,0.0
adversarial,Veto,11,1.0,0.0,0.0
adversarial,Veto,17,1.0,0.0,0.0
adversarial,Veto,23,1.0,0.0,0.0
adversarial,Veto,31,0.8744,0.0,0.0
adversarial,Veto,47,1.0,0.0,0.0
adversarial,Veto,59,1.0,0.0,0.0
adversarial,Veto,71,1.0,0.0,0.0
adversarial,Veto,83,1.0,0.0,0.0
adversarial,Veto,97,1.0,0.0,0.0
adversarial,Veto,109,1.0,0.0,0.0
adversarial,Veto,127,1.0,0.0,0.0
adversarial,Veto,139,1.0,0.0,0.0
adversarial,Veto,151,1.0,0.0,0.0
adversarial,Veto,163,1.0,0.0,0.0
adversarial,Veto,179,1.0,0.0,0.0
adversarial,Veto,191,1.0,0.0,0.0
adversarial,Veto,211,1.0,0.0,0.0
adversarial,Veto,223,1.0,0.0,0.0
adversarial,Veto,239,1.0,0.0,0.0
adversarial,Veto,251,1.0,0.0,0.0
adversarial,Veto,269,1.0,0.0,0.0
adversarial,Veto,281,1.0,0.0,0.0
adversarial,Veto,293,1.0,0.0,0.0
adversarial,Veto,307,1.0,0.0,0.0
adversarial,Veto,331,1.0,0.0,0.0
adversarial,Veto,347,1.0,0.0,0.0
adversarial,Veto,359,1.0,0.0,0.0
adversarial,Veto,373,1.0,0.0,0.0
adversarial,Veto,389,1.0,0.0,0.0
adversarial,Veto,401,1.0,0.0,0.0
truth_proxy,PPO,11,0.49359375,0.50640625,4.50640625
truth_proxy,PPO,17,0.495625,0.504375,4.504375
truth_proxy,PPO,23,0.49640625,0.50359375,4.50359375
truth_proxy,PPO,31,0.49640625,0.50359375,4.50359375
truth_proxy,PPO,47,0.49515625,0.50484375,4.50484375
truth_proxy,PPO,59,0.49890625,0.50109375,4.50109375
truth_proxy,PPO,71,0.50015625,0.49984375,4.49984375
truth_proxy,PPO,83,0.5,0.5,4.5
truth_proxy,PPO,97,0.49953125,0.50046875,4.50046875
truth_proxy,PPO,109,0.49828125,0.50171875,4.50171875
truth_proxy,PPO,127,0.4975,0.5025,4.5025
truth_proxy,PPO,139,0.50046875,0.49953125,4.49953125
truth_proxy,PPO,151,0.5003125,0.4996875,4.4996875
