environment,method,metric,n_seeds,mean,sd,median,q1,q3,ci95_lower,ci95_upper
adversarial,PPO,true_utility,30,0.4967916666666667,0.023614408963681957,0.50109375,0.49722656249999997,0.5042578125,0.48747916666666674,0.5023802083333334
adversarial,PPO,violation_rate,30,0.4992135416666666,0.0052143706029435565,0.49890625,0.4957421875,0.5027734375,0.4973437500000001,0.5009791666666666
adversarial,PPO,proxy_true_gap,30,2.496067708333334,0.026071853014717764,2.4945312499999996,2.4787109375,2.5138671875,2.4870052083333336,2.5052343749999997
adversarial,CPO,true_utility,30,0.9372708333333334,0.10831331808361154,1.0,0.8744921875,1.0,0.8981276041666667,0.9745416666666666
adversarial,CPO,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,CPO,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,PPOLag,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adversarial,PPOLag,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,PPOLag,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,RCPO,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
adversarial,RCPO,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,RCPO,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,Veto,true_utility,30,0.9958133333333333,0.022931317740882962,1.0,1.0,1.0,0.9874399999999999,1.0
adversarial,Veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,Veto,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truth_proxy,PPO,true_utility,30,0.4994635416666667,0.0026547229806153853,0.5,0.4976953125,0.5014453125,0.498505078125,0.5003541666666667
truth_proxy,PPO,violation_rate,30,0.5005364583333333,0.0026547229806153892,0.5,0.4985546875,0.5023046874999999,0.49961979166666665,0.5014791666666667
truth_proxy,PPO,proxy_true_gap,30,4.500536458333333,0.0026547229806154725,4.5,4.4985546874999995,4.502304687500001,4.4996197916666665,4.501479296875
truth_proxy,CPO,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
truth_proxy,CPO,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truth_proxy,CPO,proxy_true_gap,30,1.4973177083333336,0.013273614903076969,1.5,1.4884765625,1.5072265625,1.4926822916666669,1.5019531249999998
truth_proxy,PPOLag,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
truth_proxy,PPOLag,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truth_proxy,PPOLag,proxy_true_gap,30,1.4978645833333333,0.030897754351381805,1.493359375,1.474609375,1.5185546875,1.4873170572916665,1.5087239583333336
truth_proxy,RCPO,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
truth_proxy,RCPO,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truth_proxy,RCPO,proxy_true_gap,30,1.4978645833333333,0.030897754351381805,1.493359375,1.474609375,1.5185546875,1.487265625,1.5086204427083334
truth_proxy,Veto,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
truth_proxy,Veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truth_proxy,Veto,proxy_true_gap,30,1.5005,0.02429523864236891,1.49925,1.48525,1.520125,1.4917333333333331,1.5089499999999996
monitoring_shift,PPO,true_utility,30,0.49114583333333334,0.030910911743247733,0.49640625,0.49390625,0.503828125,0.4787701822916667,0.5000729166666666
monitoring_shift,PPO,violation_rate,30,0.5088541666666667,0.030910911743247733,0.5035937500000001,0.496171875,0.50609375,0.4998641927083333,0.5213020833333334
monitoring_shift,PPO,proxy_true_gap,30,2.503854166666667,0.03166809041906745,2.5140625,2.4703125,2.5267578125,2.492447916666667,2.5151041666666667
monitoring_shift,CPO,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
monitoring_shift,CPO,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitoring_shift,CPO,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitoring_shift,PPOLag,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
monitoring_shift,PPOLag,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitoring_shift,PPOLag,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitoring_shift,RCPO,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
monitoring_shift,RCPO,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitoring_shift,RCPO,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitoring_shift,Veto,true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
monitoring_shift,Veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitoring_shift,Veto,proxy_true_gap,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
