method,seed,violation_auc,utility_loss_auc,sycophancy_auc,deception_auc
fixed_penalty,11,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,17,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,23,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,31,0.109375,0.0765624940395355,0.109375,0.109375
fixed_penalty,47,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,59,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,71,0.0625,0.04375000298023224,0.0625,0.0625
fixed_penalty,83,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,97,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,109,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,127,0.0625,0.04375000298023224,0.0625,0.0625
fixed_penalty,139,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,151,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,163,0.125,0.08749999105930328,0.125,0.125
fixed_penalty,179,0.125,0.08749999105930328,0.125,0.125
fixed_penalty,191,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,211,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,223,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,239,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,251,0.125,0.08749999105930328,0.125,0.125
fixed_penalty,269,0.109375,0.07656249403953552,0.109375,0.109375
fixed_penalty,281,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,293,0.125,0.08749999105930328,0.125,0.125
fixed_penalty,307,0.109375,0.07656249403953552,0.109375,0.109375
fixed_penalty,331,0.0703125,0.04921875149011612,0.0703125,0.0703125
fixed_penalty,347,0.109375,0.0765624940395355,0.109375,0.109375
fixed_penalty,359,0.078125,0.0546875,0.078125,0.078125
fixed_penalty,373,0.125,0.08749999105930328,0.125,0.125
fixed_penalty,389,0.0625,0.04375000298023224,0.0625,0.0625
fixed_penalty,401,0.125,0.08749999105930328,0.125,0.125
hard_veto,11,0.0,0.021250009536743164,0.0,0.0
hard_veto,17,0.0,0.021250009536743164,0.0,0.0
hard_veto,23,0.0,0.021250009536743164,0.0,0.0
hard_veto,31,0.0,0.021250009536743164,0.0,0.0
hard_veto,47,0.0,0.021250009536743164,0.0,0.0
hard_veto,59,0.0,0.021250009536743164,0.0,0.0
hard_veto,71,0.0,0.021250009536743164,0.0,0.0
hard_veto,83,0.0,0.021250009536743164,0.0,0.0
hard_veto,97,0.0,0.021250009536743164,0.0,0.0
hard_veto,109,0.0,0.021250009536743164,0.0,0.0
hard_veto,127,0.0,0.021250009536743164,0.0,0.0
hard_veto,139,0.0,0.021250009536743164,0.0,0.0
hard_veto,151,0.0,0.021250009536743164,0.0,0.0
hard_veto,163,0.0,0.021250009536743164,0.0,0.0
hard_veto,179,0.0,0.021250009536743164,0.0,0.0
hard_veto,191,0.0,0.021250009536743164,0.0,0.0
hard_veto,211,0.0,0.021250009536743164,0.0,0.0
hard_veto,223,0.0,0.021250009536743164,0.0,0.0
hard_veto,239,0.0,0.021250009536743164,0.0,0.0
hard_veto,251,0.0,0.021250009536743164,0.0,0.0
hard_veto,269,0.0,0.021250009536743164,0.0,0.0
hard_veto,281,0.0,0.021250009536743164,0.0,0.0
hard_veto,293,0.0,0.021250009536743164,0.0,0.0
hard_veto,307,0.0,0.021250009536743164,0.0,0.0
hard_veto,331,0.0,0.021250009536743164,0.0,0.0
hard_veto,347,0.0,0.021250009536743164,0.0,0.0
hard_veto,359,0.0,0.021250009536743164,0.0,0.0
hard_veto,373,0.0,0.021250009536743164,0.0,0.0
hard_veto,389,0.0,0.021250009536743164,0.0,0.0
hard_veto,401,0.0,0.021250009536743164,0.0,0.0
lagrangian,11,0.0,0.021250009536743164,0.0,0.0
lagrangian,17,0.0,0.021250009536743164,0.0,0.0
lagrangian,23,0.0,0.021250009536743164,0.0,0.0
lagrangian,31,0.0,0.021250009536743164,0.0,0.0
lagrangian,47,0.0,0.021250009536743164,0.0,0.0
lagrangian,59,0.0,0.021250009536743164,0.0,0.0
lagrangian,71,0.125,0.10875001549720764,0.125,0.125
lagrangian,83,0.0,0.021250009536743164,0.0,0.0
lagrangian,97,0.0,0.021250009536743164,0.0,0.0
lagrangian,109,0.0,0.021250009536743164,0.0,0.0
lagrangian,127,0.0,0.021250009536743164,0.0,0.0
lagrangian,139,0.0,0.021250009536743164,0.0,0.0
lagrangian,151,0.0,0.021250009536743164,0.0,0.0
lagrangian,163,0.0,0.021250009536743164,0.0,0.0
lagrangian,179,0.0,0.021250009536743164,0.0,0.0
