method,metric,n_seeds,mean,sd,ci95_lower,ci95_upper
fixed_penalty,violation_auc,30,0.08984375,0.021785338105197234,0.08229166666666667,0.09765625
fixed_penalty,utility_loss_auc,30,0.06289062276482582,0.015249732518414577,0.05760416587193807,0.0683593712747097
fixed_penalty,sycophancy_auc,30,0.08984375,0.021785338105197234,0.08229166666666667,0.09765625
fixed_penalty,deception_auc,30,0.08984375,0.021785338105197234,0.08255208333333333,0.09765625
hard_veto,violation_auc,30,0.0,0.0,0.0,0.0
hard_veto,utility_loss_auc,30,0.021250009536743164,0.0,0.021250009536743164,0.021250009536743164
hard_veto,sycophancy_auc,30,0.0,0.0,0.0,0.0
hard_veto,deception_auc,30,0.0,0.0,0.0,0.0
lagrangian,violation_auc,30,0.004166666666666667,0.022821773229381916,0.0,0.0125
lagrangian,utility_loss_auc,30,0.02416667640209198,0.015975242348794296,0.021250009536743164,0.030000010132789613
lagrangian,sycophancy_auc,30,0.004166666666666667,0.022821773229381916,0.0,0.0125
lagrangian,deception_auc,30,0.004166666666666667,0.022821773229381916,0.0,0.0125
reward_only,violation_auc,30,0.375,0.0,0.375,0.375
reward_only,utility_loss_auc,30,0.26250000298023224,0.0,0.26250000298023224,0.26250000298023224
reward_only,sycophancy_auc,30,0.375,0.0,0.375,0.375
reward_only,deception_auc,30,0.375,0.0,0.375,0.375
