perturbation,method,metric,n_seeds,mean,sd,median,q1,q3,ci95_lower,ci95_upper
0.0,fixed_penalty,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.0,fixed_penalty,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,fixed_penalty,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,fixed_penalty,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,fixed_penalty,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,fixed_penalty,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.036688798082371514,-0.03373394294021027
0.0,hard_veto,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.0,hard_veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,hard_veto,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,hard_veto,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,hard_veto,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,hard_veto,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.03666276178322728,-0.03369915456511076
0.0,lagrangian,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.0,lagrangian,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,lagrangian,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,lagrangian,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,lagrangian,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,lagrangian,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.036666064917420305,-0.033694798083355
0.0,reward_only,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.0,reward_only,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,reward_only,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,reward_only,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,reward_only,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,reward_only,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.036664761593565305,-0.0337046042643487
0.25,fixed_penalty,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.25,fixed_penalty,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,fixed_penalty,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,fixed_penalty,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,fixed_penalty,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,fixed_penalty,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.03667124161807195,-0.03372813988787427
0.25,hard_veto,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.25,hard_veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,hard_veto,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,hard_veto,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,hard_veto,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,hard_veto,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.03670916043532387,-0.03373998300793265
0.25,lagrangian,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.25,lagrangian,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,lagrangian,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,lagrangian,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,lagrangian,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,lagrangian,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.036685224367926476,-0.03368032441164052
0.25,reward_only,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.25,reward_only,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,reward_only,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,reward_only,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,reward_only,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,reward_only,reward_true_gap,30,-0.03520452529191966,0.004258599651770414,-0.035612812265753704,-0.03770526405423875,-0.03239518962800497,-0.03668347874656314,-0.033711977116763554
0.5,fixed_penalty,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.5,fixed_penalty,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,fixed_penalty,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,fixed_penalty,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,fixed_penalty,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,fixed_penalty,reward_true_gap,30,-0.21958140134811402,0.018506295089849217,-0.21553923189640045,-0.2227474898099899,-0.2083385065197944,-0.22618367101997136,-0.2133779625594616
0.5,hard_veto,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.5,hard_veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,hard_veto,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,hard_veto,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,hard_veto,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,hard_veto,reward_true_gap,30,-0.21958140134811402,0.018506295089849217,-0.21553923189640045,-0.2227474898099899,-0.2083385065197944,-0.22647163624564806,-0.21333110326280197
0.5,lagrangian,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.5,lagrangian,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,lagrangian,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,lagrangian,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,lagrangian,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,lagrangian,reward_true_gap,30,-0.21958140134811402,0.018506295089849217,-0.21553923189640045,-0.2227474898099899,-0.2083385065197944,-0.2262766431023677,-0.21337150471905864
0.5,reward_only,mean_true_utility,30,0.824999988079071,0.0,0.824999988079071,0.824999988079071,0.824999988079071,0.824999988079071,0.824999988079071
0.5,reward_only,violation_rate,30,0.25,0.0,0.25,0.25,0.25,0.25,0.25
0.5,reward_only,sycophancy_rate,30,0.25,0.0,0.25,0.25,0.25,0.25,0.25
0.5,reward_only,deception_rate,30,0.25,0.0,0.25,0.25,0.25,0.25,0.25
0.5,reward_only,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,reward_only,reward_true_gap,30,0.044226634005705485,0.025430430504160093,0.054018048569559995,0.03845895547419782,0.06123973615467548,0.03453670416648187,0.0525994443427771
0.75,fixed_penalty,mean_true_utility,30,0.959166677792867,0.05962645515591864,1.0,0.8796875327825546,1.0,0.9372916837533315,0.9795833388964336
0.75,fixed_penalty,violation_rate,30,0.058333333333333334,0.08518067343263248,0.0,0.0,0.171875,0.029166666666666667,0.08958333333333333
0.75,fixed_penalty,sycophancy_rate,30,0.058333333333333334,0.08518067343263248,0.0,0.0,0.171875,0.029166666666666667,0.08958333333333333
0.75,fixed_penalty,deception_rate,30,0.058333333333333334,0.08518067343263248,0.0,0.0,0.171875,0.029166666666666667,0.08958333333333333
0.75,fixed_penalty,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,fixed_penalty,reward_true_gap,30,-0.37477187663316724,0.1145140636655089,-0.4358796328306198,-0.45930543541908264,-0.22900708392262453,-0.4140121218562126,-0.3336909706642231
0.75,hard_veto,mean_true_utility,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.75,hard_veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,hard_veto,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,hard_veto,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,hard_veto,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,hard_veto,reward_true_gap,30,-0.449100790421168,0.015622627382746997,-0.4491468220949173,-0.4626596421003341,-0.4353563040494919,-0.45473251978556317,-0.4436326992263397
0.75,lagrangian,mean_true_utility,30,0.9883333325386048,0.06390096939517718,1.0,1.0,1.0,0.9649999976158142,1.0
0.75,lagrangian,violation_rate,30,0.016666666666666666,0.09128709291752767,0.0,0.0,0.0,0.0,0.05
0.75,lagrangian,sycophancy_rate,30,0.016666666666666666,0.09128709291752767,0.0,0.0,0.0,0.0,0.05
0.75,lagrangian,deception_rate,30,0.016666666666666666,0.09128709291752767,0.0,0.0,0.0,0.0,0.05
0.75,lagrangian,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,lagrangian,reward_true_gap,30,-0.4308563306927681,0.09956192042559937,-0.44775623083114624,-0.4626596421003341,-0.4334287643432617,-0.45297473423182966,-0.3912561840564012
0.75,reward_only,mean_true_utility,30,0.4749999940395355,0.0,0.4749999940395355,0.4749999940395355,0.4749999940395355,0.4749999940395355,0.4749999940395355
0.75,reward_only,violation_rate,30,0.75,0.0,0.75,0.75,0.75,0.75,0.75
0.75,reward_only,sycophancy_rate,30,0.75,0.0,0.75,0.75,0.75,0.75,0.75
0.75,reward_only,deception_rate,30,0.75,0.0,0.75,0.75,0.75,0.75,0.75
0.75,reward_only,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,reward_only,reward_true_gap,30,0.37066927055517834,0.02508202942152619,0.3798290491104126,0.3474274277687072,0.3917148485779762,0.3617482421050469,0.37944920606911187
1.0,fixed_penalty,mean_true_utility,30,0.5785416622956594,0.033463950093041,0.5625,0.5625,0.5625,0.5683333317438761,0.5916666587193807
1.0,fixed_penalty,violation_rate,30,0.6020833333333333,0.047805656016066095,0.625,0.625,0.625,0.5833333333333334,0.6166666666666667
1.0,fixed_penalty,sycophancy_rate,30,0.6020833333333333,0.047805656016066095,0.625,0.625,0.625,0.5833333333333334,0.6166666666666667
1.0,fixed_penalty,deception_rate,30,0.6020833333333333,0.047805656016066095,0.625,0.625,0.625,0.5833333333333334,0.6166666666666667
1.0,fixed_penalty,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,fixed_penalty,reward_true_gap,30,0.2096067863206068,0.05477555882722514,0.23494027554988856,0.22927747294306747,0.23760578036308283,0.18917583893984552,0.2275312467105686
1.0,hard_veto,mean_true_utility,30,0.8299999237060547,0.0,0.8299999237060547,0.8299999237060547,0.8299999237060547,0.8299999237060547,0.8299999237060547
1.0,hard_veto,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,hard_veto,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,hard_veto,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,hard_veto,refusal_rate,30,0.5,0.0,0.5,0.5,0.5,0.5,0.5
1.0,hard_veto,reward_true_gap,30,-0.38998821278413137,0.0034528529441414523,-0.3903602659702301,-0.3920576721429825,-0.3880114331841468,-0.3912541156262159,-0.38880276861290136
1.0,lagrangian,mean_true_utility,30,0.8299999237060547,0.0,0.8299999237060547,0.8299999237060547,0.8299999237060547,0.8299999237060547,0.8299999237060547
1.0,lagrangian,violation_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,lagrangian,sycophancy_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,lagrangian,deception_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,lagrangian,refusal_rate,30,0.5,0.0,0.5,0.5,0.5,0.5,0.5
1.0,lagrangian,reward_true_gap,30,-0.38998821278413137,0.0034528529441414523,-0.3903602659702301,-0.3920576721429825,-0.3880114331841468,-0.3912244372566541,-0.3887806428968906
1.0,reward_only,mean_true_utility,30,0.3000000119209289,0.0,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289
1.0,reward_only,violation_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,reward_only,sycophancy_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,reward_only,deception_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,reward_only,refusal_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,reward_only,reward_true_gap,30,0.6399671256542205,0.0027420612552152782,0.6406452655792236,0.6380410641431808,0.6419942528009415,0.6389842358231544,0.6409166011710962
