Environment,Perturbation,reward_primary_metric,reward_utility,soft_primary_metric,soft_utility,constrained_primary_metric,constrained_utility
adversarial,0.0,0.104333,5.478333,0.104133,5.479333,0.0,6.0
adversarial,0.2,0.105467,4.671167,0.104133,4.672167,0.0,4.989833
adversarial,0.4,0.252633,3.748667,0.104133,3.875167,0.0,3.971833
adversarial,0.6,0.762833,3.783833,0.104267,3.105667,0.0,2.982
adversarial,0.8,0.8799,4.658167,0.1571,2.471833,0.0,1.979
adversarial,1.0,0.8941,5.4705,0.654133,4.270667,0.0,1.0
monitoring,0.0,,5.478333,,5.479333,,6.0
monitoring,0.2,0.0923,4.671167,0.089889,4.672167,0.0,4.989833
monitoring,0.4,0.187632,3.748667,0.093642,3.875167,0.0,3.971833
monitoring,0.6,0.181126,3.783833,0.096131,3.105667,0.0,2.982
monitoring,0.8,0.106039,4.658167,0.129266,2.471833,0.0,1.979
monitoring,1.0,,5.4705,,4.270667,,1.0
truth_reward,0.0,0.1045,5.4775,0.104133,5.479333,0.0,6.0
truth_reward,0.2,0.117533,4.635167,0.104133,4.683833,0.0,4.9895
truth_reward,0.4,0.240233,3.731333,0.104133,3.880167,0.0,3.969167
truth_reward,0.6,0.7395,3.750667,0.104133,3.100833,0.0,2.983833
truth_reward,0.8,0.854033,4.566,0.144833,2.436333,0.0,1.9905
truth_reward,1.0,0.894133,5.470667,0.679933,4.399667,0.0,1.0
