Environment,Agent,Episodes,Perturbation,Mean Utility,Primary Metric,95% CI
adversarial,constrained,10000,0.0,6.0000 ± 0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]"
adversarial,constrained,10000,0.2,4.9898 ± 0.0133,0.0000 ± 0.0000,"[0.0000, 0.0000]"
adversarial,constrained,10000,0.4,3.9718 ± 0.0204,0.0000 ± 0.0000,"[0.0000, 0.0000]"
adversarial,constrained,10000,0.6,2.9820 ± 0.0108,0.0000 ± 0.0000,"[0.0000, 0.0000]"
adversarial,constrained,10000,0.8,1.9790 ± 0.0258,0.0000 ± 0.0000,"[0.0000, 0.0000]"
adversarial,constrained,10000,1.0,1.0000 ± 0.0000,0.0000 ± 0.0000,"[0.0000, 0.0000]"
adversarial,reward,10000,0.0,5.4783 ± 0.0155,0.1043 ± 0.0031,"[0.1008, 0.1078]"
adversarial,reward,10000,0.2,4.6712 ± 0.0115,0.1055 ± 0.0035,"[0.1015, 0.1094]"
adversarial,reward,10000,0.4,3.7487 ± 0.0678,0.2526 ± 0.0786,"[0.1637, 0.3415]"
adversarial,reward,10000,0.6,3.7838 ± 0.0503,0.7628 ± 0.0601,"[0.6948, 0.8309]"
adversarial,reward,10000,0.8,4.6582 ± 0.0954,0.8799 ± 0.0257,"[0.8509, 0.9089]"
adversarial,reward,10000,1.0,5.4705 ± 0.0100,0.8941 ± 0.0020,"[0.8918, 0.8964]"
adversarial,soft,10000,0.0,5.4793 ± 0.0155,0.1041 ± 0.0031,"[0.1006, 0.1077]"
adversarial,soft,10000,0.2,4.6722 ± 0.0118,0.1041 ± 0.0031,"[0.1006, 0.1077]"
adversarial,soft,10000,0.4,3.8752 ± 0.0171,0.1041 ± 0.0031,"[0.1006, 0.1077]"
adversarial,soft,10000,0.6,3.1057 ± 0.0183,0.1043 ± 0.0032,"[0.1006, 0.1079]"
adversarial,soft,10000,0.8,2.4718 ± 0.2646,0.1571 ± 0.0907,"[0.0545, 0.2597]"
adversarial,soft,10000,1.0,4.2707 ± 0.3414,0.6541 ± 0.0683,"[0.5769, 0.7314]"
monitoring,constrained,10000,0.0,6.0000 ± 0.0000,nan ± nan,"[nan, nan]"
monitoring,constrained,10000,0.2,4.9898 ± 0.0133,0.0000 ± 0.0000,"[0.0000, 0.0000]"
monitoring,constrained,10000,0.4,3.9718 ± 0.0204,0.0000 ± 0.0000,"[0.0000, 0.0000]"
monitoring,constrained,10000,0.6,2.9820 ± 0.0108,0.0000 ± 0.0000,"[0.0000, 0.0000]"
